epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,3012.66,0.20072,0.41267,0.10819,0,0,0,0,0.83733,1.72683,0.51411,0.000520548,0.000520548,0.000520548
51,3065.73,0.36396,0.74023,0.18871,0,0,0,0,0.8752,1.60345,0.50904,0.000505,0.000505,0.000505
52,3118.48,0.3076,0.57965,0.15191,0,0,0,0,0.86078,1.31593,0.64876,0.000489452,0.000489452,0.000489452
53,3171.48,0.27008,0.55016,0.16463,0,0,0,0,0.87237,1.67939,0.5452,0.000473919,0.000473919,0.000473919
54,3224.43,0.25195,0.43381,0.15353,0,0,0,0,0.90623,1.68716,0.54436,0.000458416,0.000458416,0.000458416
55,3277.09,0.20822,0.41868,0.10032,0,0,0,0,0.92261,1.71477,0.56423,0.00044296,0.00044296,0.00044296
56,3329.82,0.2556,0.42448,0.20451,0,0,0,0,0.9395,1.65896,0.55251,0.000427565,0.000427565,0.000427565
57,3382.6,0.23753,0.46608,0.11761,0,0,0,0,0.91127,1.68248,0.54179,0.000412246,0.000412246,0.000412246
58,3435.17,0.37403,0.72344,0.20645,0,0,0,0,0.85241,1.68805,0.51789,0.000397019,0.000397019,0.000397019
59,3487.8,0.38577,0.68033,0.20781,0,0,0,0,0.83759,1.68072,0.51559,0.000381899,0.000381899,0.000381899
60,3540.34,0.26606,0.49005,0.14153,0,0,0,0,0.84615,1.69292,0.51861,0.000366899,0.000366899,0.000366899
61,3592.81,0.34141,0.67572,0.25332,0,0,0,0,0.8678,1.69974,0.52029,0.000352037,0.000352037,0.000352037
62,3645.28,0.3562,0.63967,0.18797,0,0,0,0,0.91768,1.6568,0.54382,0.000337325,0.000337325,0.000337325
63,3697.86,0.26492,0.4733,0.1606,0,0,0,0,0.85951,1.70097,0.52877,0.000322778,0.000322778,0.000322778
64,3750.72,0.30383,0.52966,0.16769,0,0,0,0,0.81534,1.73013,0.51442,0.000308412,0.000308412,0.000308412
65,3803.2,0.27443,0.56802,0.14627,0,0,0,0,0.82762,1.72037,0.51631,0.000294239,0.000294239,0.000294239
